Gene,Inheritance
NEFL,"AD (Charcot-Marie-Tooth disease, dominant intermediate G); AR (Charcot-Marie-Tooth disease, type 1F); AD (Charcot-Marie-Tooth disease, type 2E); AR ({?Amyotrophic lateral sclerosis, susceptibility to}); AD (Charcot-Marie-Tooth disease, axonal, type 2CC); AD (Charcot-Marie-Tooth disease, axonal, type 2F); AD (Neuronopathy, distal hereditary motor, autosomal dominant 3); AR (Amyotrophic lateral sclerosis 1); AR (Spastic tetraplegia and axial hypotonia, progressive)",
NEFM,"AR ({?Amyotrophic lateral sclerosis, susceptibility to}); AD (Charcot-Marie-Tooth disease, axonal, type 2CC); AR (Amyotrophic lateral sclerosis 1); AR (Spastic tetraplegia and axial hypotonia, progressive)",
NEIL1,AD (Abdominal obesity-metabolic syndrome 1),
NEIL3,AR (Seckel syndrome 9),
NEK1,"AR (?Orofaciodigital syndrome II); AD ({Amyotrophic lateral sclerosis, susceptibility to, 24}); AR (Short-rib thoracic dysplasia 6 with or without polydactyly); AR (Retinal dystrophy with macular staphyloma); AR (Spondylometaphyseal dysplasia, axial); AR (Short-rib thoracic dysplasia 3 with or without polydactyly); AR (?Retinitis pigmentosa 67)",
NEK10,"AR (Ciliary dyskinesia, primary, 44)",
NEK11,AR (?Retinitis pigmentosa 67),
NEK2,"AR (?Retinitis pigmentosa 67); AR (Cone-rod dystrophy and hearing loss 2); Colorectal cancer, somatic; AD (Exudative vitreoretinopathy 7); Hepatocellular carcinoma, somatic; Medulloblastoma, somatic; AD (Neurodevelopmental disorder with spastic diplegia and visual defects); Ovarian cancer, somatic; Pilomatricoma, somatic; Cone-rod dystrophy, X-linked, 1; Macular degeneration, X-linked atrophic; Retinitis pigmentosa 3; Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness",
NEK3,"AR (?Retinitis pigmentosa 67); AR (?Arthrogryposis, Perthes disease, and upward gaze palsy); AR (Lethal congenital contracture syndrome 10); Nevus comedonicus, somatic",
NEK4,"AR (?Arthrogryposis, Perthes disease, and upward gaze palsy); AR (Lethal congenital contracture syndrome 10); Nevus comedonicus, somatic",
NEK6,"AR (?Arthrogryposis, Perthes disease, and upward gaze palsy); AR (Lethal congenital contracture syndrome 10); Nevus comedonicus, somatic; AR (Focal segmental glomerulosclerosis 9); AR (Ventriculomegaly with cystic kidney disease); AR (Ciliary dyskinesia, primary, 44)",
NEK7,"AD (CINCA syndrome); AD (Deafness, autosomal dominant 34, with or without inflammation); AD (Familial cold inflammatory syndrome 1); AD (Keratoendothelitis fugax hereditaria); AD (Muckle-Wells syndrome); AR (?Arthrogryposis, Perthes disease, and upward gaze palsy); AR (Lethal congenital contracture syndrome 10); Nevus comedonicus, somatic; Agammaglobulinemia, X-linked 1; Isolated growth hormone deficiency, type III, with agammaglobulinemia; AR (Focal segmental glomerulosclerosis 9); AR (Ventriculomegaly with cystic kidney disease); AR (Ciliary dyskinesia, primary, 44)",
NEK8,"?Nephronophthisis 9; AD (Polycystic kidney disease 8); AR (Renal-hepatic-pancreatic dysplasia 2); AR (Nephronophthisis 16); AR (Nephronophthisis 2, infantile); AR (Meckel syndrome 7); AR (Nephronophthisis 3); AR (Renal-hepatic-pancreatic dysplasia 1); AR (?Arthrogryposis, Perthes disease, and upward gaze palsy); AR (Lethal congenital contracture syndrome 10); Nevus comedonicus, somatic; AD (Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant); AD (Spinal muscular atrophy, lower extremity-predominant, 2B, autosomal dominant)",
NEK9,"AR (?Arthrogryposis, Perthes disease, and upward gaze palsy); AR (Lethal congenital contracture syndrome 10); Nevus comedonicus, somatic; AD (Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant); AD (Spinal muscular atrophy, lower extremity-predominant, 2B, autosomal dominant); ?Nephronophthisis 9; AD (Polycystic kidney disease 8); AR (Renal-hepatic-pancreatic dysplasia 2)",
NELFA,Wolf-Hirschhorn syndrome,
NELL1,"AD (Gnathodiaphyseal dysplasia); AR (Miyoshi muscular dystrophy 3); AR (Muscular dystrophy, limb-girdle, autosomal recessive 12); AR (Scott syndrome); {Inflammatory bowel disease 18}",
NELL2,"AR (Gaze palsy, familial horizontal, with progressive scoliosis, 1); AD (Gnathodiaphyseal dysplasia); AR (Miyoshi muscular dystrophy 3); AR (Muscular dystrophy, limb-girdle, autosomal recessive 12); AR (Scott syndrome)",
NEMF,AR (Intellectual developmental disorder with speech delay and axonal peripheral neuropathy),
NEO1,"AD (Mirror movements 4); Colorectal cancer, somatic; Esophageal carcinoma, somatic; AR (Gaze palsy, familial horizontal, with progressive scoliosis, 2); AD (Mirror movements 1 and/or agenesis of the corpus callosum); AD (Neurodevelopmental disorder with or without autistic features and/or structural brain abnormalities)",
NES,"AR (Methylmalonic aciduria and homocystinuria, cblF type); AR (Inflammatory poikiloderma with hair abnormalities and acral keratoses); AR (Muscular dystrophy, limb-girdle, autosomal recessive 29); AR (Congenital arthrogryposis with anterior horn cell disease); AR (Lethal congenital contracture syndrome 1)",
NET1,AD (?Orthostatic intolerance),
NEU1,"AR (Sialidosis, type I); AR (Sialidosis, type II); AD (?Deafness, autosomal dominant 72); AR (Galactosialidosis); AR (GM1-gangliosidosis, type I); AR (GM1-gangliosidosis, type II); AR (GM1-gangliosidosis, type III); AR (Mucopolysaccharidosis type IVB (Morquio)); AD ({Parkinson disease 24, autosomal dominant, susceptibility to}); AR (Combined SAP deficiency); Gaucher disease, atypical; AR (Krabbe disease, atypical); AR (Metachromatic leukodystrophy due to SAP-b deficiency)",
NEURL2,AD (Left ventricular noncompaction 7),
NEURL4,"AD (Epilepsy, early-onset, 2, with or without developmental delay); AD (Neurodevelopmental disorder with speech impairment and dysmorphic facies)",
NEUROD1,"AD ({Type 2 diabetes mellitus, susceptibility to}); Maturity-onset diabetes of the young 6; AR (Diarrhea 4, malabsorptive, congenital); AR (Cerebellar hypoplasia/atrophy, epilepsy, and global developmental delay)",
NEUROD2,"AD (Developmental and epileptic encephalopathy 72); AR (Cranial dysinnervation disorder, congenital, with absent corneal reflex and developmental delay); AR (Oocyte/zygote/embryo maturation arrest 14); AR (Rothmund-Thomson syndrome, type 1)",
NEUROD4,"AR (Pituitary hormone deficiency, combined, 3); AD (Coffin-Siris syndrome 7)",
NEUROG1,"AR (Cranial dysinnervation disorder, congenital, with absent corneal reflex and developmental delay); AR (Cerebellar hypoplasia/atrophy, epilepsy, and global developmental delay); AD (?Deafness, autosomal dominant 89)",
NEUROG2,"AR (Cranial dysinnervation disorder, congenital, with absent corneal reflex and developmental delay); AD (?Coloboma of optic nerve); AD (?Morning glory disc anomaly); AD (Aniridia); AD (Anterior segment dysgenesis 5, multiple subtypes); AD (Cataract with late-onset corneal dystrophy); AD (Foveal hypoplasia 1); AD (Keratitis); AD (Microphthalmia/coloboma 12); AD (Optic nerve hypoplasia); AD (?Deafness, autosomal dominant 89); Intellectual developmental disorder, X-linked, with isolated growth hormone deficiency; Panhypopituitarism, X-linked; AD (Ectodermal dysplasia 3, Witkop type); AD (Orofacial cleft 5); AD (Tooth agenesis, selective, 1, with or without orofacial cleft); AD (Microphthalmia, syndromic 3); AD (Optic nerve hypoplasia and abnormalities of the central nervous system); AD (Deafness, autosomal dominant 7)",
NEUROG3,"AR (Diarrhea 4, malabsorptive, congenital); Rhabdomyosarcoma, alveolar; AR (Mitchell-Riley syndrome); AD (Insulinomatosis and diabetes mellitus)",
NEXMIF,"Intellectual developmental disorder, X-linked 98; Chromosome Xq13 duplication syndrome",
NEXN,"AD (Cardiomyopathy, dilated, 1CC); AD (Cardiomyopathy, hypertrophic, 20)",
NF1,"AD (Leukemia, juvenile myelomonocytic); AD (Neurofibromatosis-Noonan syndrome); AD (Neurofibromatosis, familial spinal); AD (Neurofibromatosis, type 1); AD (Watson syndrome); AD (Chromosome 17q11.2 deletion syndrome, 1.4Mb); AD (Chromosome 17q11.2 duplication syndrome, 1.4-Mb); AD (Imagawa-Matsumoto syndrome); Lynch syndrome 2; AR (Mismatch repair cancer syndrome 1); AD (Muir-Torre syndrome)",
NF2,"Meningioma, NF2-related, somatic; Schwannomatosis, somatic; AD (Schwannomatosis, vestibular); AD ({Rhabdoid tumor predisposition syndrome 1}); AD ({Schwannomatosis-1, susceptibility to}); AD (Coffin-Siris syndrome 3); Rhabdoid tumors, somatic; AD ({Schwannomatosis-2, susceptibility to}); AD (Noonan syndrome 10); AR (Noonan syndrome 2); AD (Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or impaired intellectual development)",
NFASC,"AR (Neurodevelopmental disorder with central and peripheral motor dysfunction); AR (Congenital myopathy 12); AR (Neurodevelopmental disorder with neuromuscular and skeletal abnormalities); AR (Hypomyelinating neuropathy, congenital, 3); AR (Lethal congenital contracture syndrome 7)",
NFAT5,"Breast cancer, somatic; Cerebral cavernous malformations 4, somatic; CLAPO syndrome, somatic; CLOVE syndrome, somatic; Colorectal cancer, somatic; Cowden syndrome 5; Gastric cancer, somatic; Hemifacial myohyperplasia, somatic; Hepatocellular carcinoma, somatic; Keratosis, seborrheic, somatic; Macrodactyly, somatic; Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic; Nevus, epidermal, somatic mosaic; Nonsmall cell lung cancer, somatic; Ovarian cancer, somatic; AR (?Joint contracture, osteochondromas, and B-cell lymphoma)",
NFATC1,"AD ({Atrioventricular septal defect, susceptibility to, 2}); AD (Atrioventricular septal defect, partial, with heterotaxy syndrome); AR (Jeffries-Lakhani neurodevelopmental syndrome); AR (?Joint contracture, osteochondromas, and B-cell lymphoma); AD (Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development); AD (Developmental and epileptic encephalopathy 91); AR (Insulin-like growth factor I deficiency); Autoinflammatory disease, multisystem, with immune dysregulation, X-linked",
NFATC2,"AR (?Joint contracture, osteochondromas, and B-cell lymphoma); AR (?Immunodeficiency, common variable, 11); AD (Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development); AD (Developmental and epileptic encephalopathy 91)",
NFATC2IP,"AR (Immunodeficiency, common variable, 3)",
NFATC3,"AR (?Joint contracture, osteochondromas, and B-cell lymphoma); AD (Charcot-Marie-Tooth disease, type 1D); AR (Dejerine-Sottas disease); AR (Hypomyelinating neuropathy, congenital, 1); AR (Immunodeficiency 52)",
NFATC4,"AD (PCWH syndrome); AD (Waardenburg syndrome, type 2E, with or without neurologic involvement); AD (Waardenburg syndrome, type 4C); AR (?Joint contracture, osteochondromas, and B-cell lymphoma); AD (Charcot-Marie-Tooth disease, type 1D); AR (Dejerine-Sottas disease); AR (Hypomyelinating neuropathy, congenital, 1); AD (LEOPARD syndrome 1); Leukemia, juvenile myelomonocytic, somatic; AD (Metachondromatosis); AD (Noonan syndrome 1)",
NFE2,"AD (Immunodeficiency, developmental delay, and hypohomocysteinemia); AR (Autoimmune disease, multisystem, with facial dysmorphism); AR (Peroxisome biogenesis disorder 13A (Zellweger))",
NFE2L1,"AD (Immunodeficiency, developmental delay, and hypohomocysteinemia); AR (Neurodevelopmental disorder with hypotonia and gross motor and speech delay); Focal cortical dysplasia, type II, somatic; Lymphangioleiomyomatosis; AD (Tuberous sclerosis-1); ?Focal cortical dysplasia, type II, somatic; Lymphangioleiomyomatosis, somatic; AD (Tuberous sclerosis-2)",
NFE2L2,"AD (Immunodeficiency, developmental delay, and hypohomocysteinemia); AR (Retinal dystrophy with or without extraocular anomalies); AR (?Deafness, autosomal recessive 110); AD (Deafness, autosomal dominant 9)",
NFIA,"AD (Brain malformations with or without urinary tract defects); AD (Macrocephaly, acquired, with impaired intellectual development); AD (Malan syndrome); AD (Marshall-Smith syndrome); AD (Agammaglobulinemia 10, autosomal dominant)",
NFIB,"AD (Macrocephaly, acquired, with impaired intellectual development); AD (Brain malformations with or without urinary tract defects); AD (Malan syndrome); AD (Marshall-Smith syndrome)",
NFIC,"AD (Malan syndrome); AD (Marshall-Smith syndrome); AD (Brain malformations with or without urinary tract defects); AR (Pituitary hormone deficiency, combined or isolated, 1); AD (Macrocephaly, acquired, with impaired intellectual development)",
NFIL3,"AD (Mowat-Wilson syndrome); AR (Immunodeficiency 42); AD ([Short sleep, familial natural, 1]); AD (?Advanced sleep phase syndrome, familial, 1); AD (?Advanced sleep phase syndrome, familial, 3)",
NFIX,"AD (Malan syndrome); AD (Marshall-Smith syndrome); AD (Brain malformations with or without urinary tract defects); Chromosome 19p13.13 deletion syndrome; Chromosome 19p13.13 duplication syndrome; AD (Macrocephaly, acquired, with impaired intellectual development)",
NFKB1,"AD (Immunodeficiency, common variable, 12); AD (Immunodeficiency, common variable, 10); AD (Ectodermal dysplasia and immunodeficiency 2); Breast cancer, somatic; Colorectal cancer, somatic; AD (Cowden syndrome 6); Ovarian cancer, somatic; Proteus syndrome, somatic mosaic; AR (?Cocoon syndrome); AR (?Popliteal pterygium syndrome, Bartsocas-Papas type 2); AD (Immunodeficiency 15A); AR (Immunodeficiency 15B)",
NFKB2,"AD (Immunodeficiency, common variable, 10); AD (Immunodeficiency, common variable, 12); AR (Immunodeficiency 112); AR (?Cocoon syndrome); AR (?Popliteal pterygium syndrome, Bartsocas-Papas type 2); AR (Immunodeficiency, common variable, 4); AD (Ectodermal dysplasia and immunodeficiency 2); AD (Glomerulosclerosis, focal segmental, 7); AD (Papillorenal syndrome)",
NFKBIA,"AD (Ectodermal dysplasia and immunodeficiency 2); AD (Immunodeficiency, common variable, 12); AD (Autoinflammatory disease, familial, Behcet-like-3); AD (Immunodeficiency 15A); AR (Immunodeficiency 15B); AR (Immunodeficiency 12); AR (Intellectual developmental disorder, autosomal recessive 13); AR (?Cocoon syndrome); AR (?Popliteal pterygium syndrome, Bartsocas-Papas type 2); AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants)",
NFKBIB,"AD (Immunodeficiency, common variable, 12); AR (?Cocoon syndrome); AR (?Popliteal pterygium syndrome, Bartsocas-Papas type 2); AD (Immunodeficiency 15A); AR (Immunodeficiency 15B); AD ({Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8}); AR (Autoinflammation with arthritis and vasculitis); AD (Frontotemporal dementia and/or amyotrophic lateral sclerosis 4); AD (Ectodermal dysplasia and immunodeficiency 2); AD (Immunodeficiency, common variable, 10)",
NFKBIL1,"{Rheumatoid arthritis, susceptibility to}; {Pulmonary hypertension, chronic thromboembolic, without deep vein thrombosis, susceptibility to}; {Beryllium disease, chronic, susceptibility to}; {Leprosy, susceptibility to, 4}; {Myocardial infarction, susceptibility to}; {Psoriatic arthritis, susceptibility to}; AR (?Immunodeficiency 127); AD ({Asthma, susceptibility to}); {Dementia, vascular, susceptibility to}; {Malaria, cerebral, susceptibility to}; AD ({Migraine without aura, susceptibility to}); {Septic shock, susceptibility to}",
NFKBIZ,"AR (?Candidiasis, familial, 8); {Psoriasis susceptibility 13}; AR (Immunodeficiency 75); Myelodysplastic syndrome, somatic; {Crohn disease-associated growth failure}; {Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to}; AD ({Kaposi sarcoma in HIV+, susceptibility to}); {Rheumatoid arthritis, systemic juvenile}; AR ({Type 1 diabetes mellitus}); AD ({Type 2 diabetes mellitus})",
NFS1,"AR (Combined oxidative phosphorylation deficiency 52); AR (?Combined oxidative phosphorylation deficiency 19); AR (Friedreich ataxia); AR (Friedreich ataxia with retained reflexes); AR (Xanthinuria, type II); AR (Myopathy with lactic acidosis, hereditary); AD (Anemia, sideroblastic, 4); AR (Even-plus syndrome)",
NFU1,"AR (Multiple mitochondrial dysfunctions syndrome 1); AR (Spastic paraplegia 93, autosomal recessive); AR (Multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia); AR (?Spastic paraplegia 74, autosomal recessive); AR (Multiple mitochondrial dysfunctions syndrome 3)",
NFX1,AR (Immunodeficiency 91 and hyperinflammation),
NFYA,"{Rheumatoid arthritis, susceptibility to}; AR (MHC class II deficiency 1); AR (Achromatopsia 7)",
NFYB,"DNA topoisomerase II, resistance to inhibition of, by amsacrine; {Rheumatoid arthritis, susceptibility to}; AR (MHC class II deficiency 1); AD (?Hemochromatosis, type 5); AD (Neurodegeneration with brain iron accumulation 9)",
NFYC,"AD (Global developmental delay with or without impaired intellectual development); {Rheumatoid arthritis, susceptibility to}; AR (MHC class II deficiency 1)",
